File;Othor1;LineOthor1;Contribution1;Othor2;LineOthor2;Contribution2;File Lines;Learning;NbOthors
tensorflow\contrib\image\python\ops\distort_image_ops.py;A. Unique TensorFlower;137;98.56115107913669;Derek Murray          ;3;2.158273381294964;139;false;2
tensorflow\contrib\input_pipeline\__init__.py;Rohan Jain  ;23;88.46153846153847;Martin Wicke;4;15.384615384615385;26;false;2
tensorflow\contrib\input_pipeline\python\ops\input_pipeline_ops.py;Rohan Jain            ;95;85.58558558558559;A. Unique TensorFlower;17;15.315315315315315;111;false;2
tensorflow\contrib\integrate\python\ops\odes.py;Stephan Hoyer         ;422;68.39546191247975;A. Unique TensorFlower;196;31.766612641815236;617;false;2
tensorflow\contrib\keras\__init__.py;Francois Chollet;35;92.10526315789474;Mark Daoust     ;4;10.526315789473685;38;false;2
tensorflow\contrib\keras\api\keras\activations\__init__.py;Francois Chollet;28;68.29268292682927;Yifei Feng      ;14;34.146341463414636;41;false;2
tensorflow\contrib\keras\api\keras\applications\inception_v3\__init__.py;Francois Chollet;24;88.88888888888889;Yifei Feng      ;4;14.814814814814815;27;false;2
tensorflow\contrib\keras\api\keras\applications\mobilenet\__init__.py;Francois Chollet;24;88.88888888888889;Yifei Feng      ;4;14.814814814814815;27;false;2
tensorflow\contrib\keras\api\keras\applications\resnet50\__init__.py;Francois Chollet;24;88.88888888888889;Yifei Feng      ;4;14.814814814814815;27;false;2
tensorflow\contrib\keras\api\keras\applications\vgg16\__init__.py;Francois Chollet;24;88.88888888888889;Yifei Feng      ;4;14.814814814814815;27;false;2
